[0.9] 很多父母和孩子沟通更像是在驯化动物
[124.8] 我不想听你解释
[126.02] 你就又委屈又愤怒一句
[128.45] 虽然叉叉叉
[129.41] 但不都是为你好
[131.05] 你哪怕站着脚也不好说啥
[133.19] 哪怕你都要说服对方了
[135.37] 还有最后一招
[136.46] 你就这个态度和长辈说话
[138.14] 道理说不过的时候
[139.42] 或者说到自己认知范围外的东西
[141.98] 就滥用自己的权威
[143.26] 把对方的口堵死
[144.88] 结束对方
[145.79] 那些接受不了认知以外事物的人
[148.59] 一旦掌控了巨大的话语权
[150.53] 会有多可怕
[151.75] 这就不得不提到
[153.13] 前段时间
[154.01] 叉叉英语创始人
[155.12] 教育家在直播中发表了争议性言论
[158.14] 游戏不谈好坏
[159.12] 一切游戏都是坏游戏
[160.56] 再往前追溯
[161.6] 他也这么形容过国内毕业生1000万
[164.44] 废物残缺不全的人
[165.64] 没有报国之心的人
[166.92] 很多人都看愣了
[167.96] 这堂堂教育家能说出这样的话
[170.06] 其中一种解释是这种偏销售性质的教育工作者
[173.94] 本就需要用极端言论立人设
[176.78] 人家其实早就知道背后逻辑
[178.94] 只不过要用这些话给人洗脑来筛选自己的粉丝
[183.22] 喜欢这些话术的人会更狂热
[185.86] 觉得他说的真对
[187.06] 真敢说
[188.0] 但受众不会是咱爸妈吧
[190.5] 类似这种极端言论
[191.8] 譬如尤其都是坏的
[193.12] 中国孩子没有感恩之心
[194.14] 下一代都被毁掉了
[195.58] 去观察下
[196.5] 给视频点赞
[197.58] 评论转发的人去看看这些人的头像简介没错
[201.36] 花开富贵
[202.24] 笑看人生海阔天空
[204.26] 那我们的意思不是说长辈都这样
[206.84] 而是担心那些思维已经很固化的长辈
[210.02] 平时既继续被这些话洗脑
[212.14] 然后更加接受不了认知外的东西
[214.6] 更加看待问题
[216.06] 不分辨具体情况
[217.72] 觉得晚辈都是被描述的那样恶性循环
[221.14] 加深和子女的矛盾
[223.34] 很多人都说啊
[224.46] 长辈们是这个样子
[226.06] 是因为每个人都有他时代的局限性
[229.22] 持有那个年代特有的想法
[231.39] 哪怕有人都当上教育家了
[233.75] 依旧能说出不符合当下的荒唐话
[237.07] 当代人讨论的一些问题
[238.81] 比如一语原生家庭封建观念平等交流
[242.44] 验证外界信息
[243.74] 在以前时代
[244.7] 这些都不是优先考虑的
[246.42] 长辈们会说
[247.3] 他们都是这样过来的
[248.98] 不也都好好的吗
[250.91] 同时透过他人身上的时代局限性
[253.91] 也提前观察一下自己
[255.78] 举个例子啊
[256.48] 我这个九零后
[257.46] 也不止一次和家里的八五后
[259.8] 哥哥姐姐发生了不愉快的对话
[262.02] 小冲突
[262.6] 在我们看来
[263.56] 年龄差别并不大
[264.72] 甚至八五后比我们更早熟悉网络
[267.74] 接触过大量新鲜事物
[269.34] 懂这懂那
[270.28] 但也尝试把晚辈束缚成他们认为的样子
[273.56] 可想而知
[274.36] 一零后
[274.84] 二零后怎么看待我将来观念严重不和的时候
[278.62] 是要我们放弃自己
[280.22] 相信几十年的东西
[281.54] 还是用所谓的经验去说服他们
[283.94] 我们仿佛有自信
[285.28] 做的比长辈好
[286.38] 但事实一定如此吗
[288.56] 说到底
[289.18] 每个人其实都在用自己熟悉的知识
[291.68] 在有限的时间段里发光发热
[294.34] 最终都会成为被时代抛弃的老人
