[0.62] 哈喽大家好
[338.1] 休赛期是干嘛的
[339.02] 选手上场是干嘛的
[340.1] 你们是去打比赛的吧
[341.22] 那为啥能给观众呈现出一种史诗级的盛宴呢
[343.94] 老话讲啊
[344.74] 不要为打翻的牛奶而叹息
[346.26] 但如果你总是打翻
[347.5] 那就说明你不够重视
[348.58] 年年期待
[349.18] 年年烂尾
[349.74] 我都不知道该如何评价这支队伍BP操作
[351.92] 对线打团视野
[352.84] 没有一个地方是能让人拿出来夸的
[354.56] 唯一能夸的恐怕就是稳定啊
[356.76] 稳定拉胯
[357.4] 就目前来看呢
[358.08] 这支队伍的未来已经不明朗
[359.52] 虽然集合了三位前世冠选手啊
[361.2] 而且这么多年也不断在排列组合
[362.96] 但他们不仅无法取得成绩上的突破
[365.04] 反而在关键时刻表现一年不如一年
[366.84] 我不知道这是不是也意味着
[367.92] 这支队伍为水的建队思路宣告失败啊
[370.44] 为堂堂赛区2号种子呈现出如此的比赛状态
[373.28] 属实是不
[373.88] 总之还好
[374.84] 这次BLG和WBG在八强的表现还比较争气
[377.32] 能让LPL的观众不至于那么绝望
[379.64] 但如果跟是他们的滔博粉丝换位思考一下呢
[382.32] 那想必会是非常绝望的
[383.68] 那在国外主播的节目里
[384.88] 滔博的表现更是让这些老外刮目相看啊
[387.62] And so i you know
[388.54] I didn't i
[389.5] I felt like top peace bots was this was like the  chat
[393.26] Gp t chinese team
[394.93] You know what i mean
[395.81] It's like piloted by  robots
[398.05] It was bad
[398.77] It was bad to that they had no ambition like that
[401.61] That was like the number one series was just zero
[404.67] Ambition like they were just showing up to
[406.83] Go home like that last game like
[409.03] What are they even doing it
[410.59] Looked like they just wanted to lose in the last game
[413.55] Couldn't believe what i was watching tv first
[415.63] You know like i interviewed machi
[417.07] When i was in the venue was like
[418.75] Oh malcolso
[420.17] Uh that every time in crucial moments
[422.78] You guys have so much experience
[423.98] But every time in crusher moments
[425.14] Crusher buster fired he played so bad for example
[427.5] The g two top espseries
[428.94] You guys were trash
[430.08] He's like
[430.78] Oh we've been uh
[432.38] We've been addressing this
[433.5] We do breathing exercises
[435.1] We do meditation
[435.9] I was like shared man this
[437.33] This is the western solution
[438.75] They they they
[440.22] This is the western solution is like i like the wim
[444.82] Hoffing like i was like
[446.28] Okay
[446.5] I can go blessed
[447.3] That's good
[447.72] But all right
[448.81] 那最后一场fly对阵Gen.G的比赛
[450.83] 赛前是公认的垃圾比赛
[452.59] 不看不亏
[453.24] 看了浪费
[453.98] 似乎全世界都在等着看fly的笑话
[456.2] 但是没人能想到这场比赛竟然完全相反
[459.0] 看了不亏不看血亏
[460.83] 当中韩的队伍都在寻找版本答案
[463.11] fly这支来自北美的一号种子
[464.87] 却给出了另一种答案
[466.06] 与其随波逐流
[467.34] 不如做好自己
[468.38] 第一把的中单酸辣粉加上单加里奥体系
[470.46] 直接把夺冠热门的经济打到昏头啊
[472.58] GG心想哥们这啥阵容啊
[474.34] 没见过呀
[475.02] fly这边也是操作拉满第一把就成功拿下阵地
[477.66] 全球观众虽然第二把又被经济带走
[479.82] 但第三把的中单泽丽
[480.94] 加上单厄加特体系更是离谱
[482.54] 该打的时候打
[483.46] 该稳的时候稳
[484.26] 在经济强势期的时候就避战
[485.86] 在自己强势期的时候就开战
[487.42] 虽然微操上有些瑕疵
[488.74] 但他们明确知道自己团战该怎么打
[490.94] 同时呢弹幕不仅快把反观俩字儿刷烂了
[493.82] 当天解说的王多多也越红温了
[495.68] 因为当天fly的表现都不禁让所有观众都感叹
[498.54] 如果昨天的滔博是这样的表现感有多好
[501.16] 这支fly的表现真的令人敬佩
[502.94] 风格多变且打法独特
[504.48] 看似似莽撞又不失细节
[506.1] 最后的生死局
[506.98] fly拿出的万豪永恩稻草人阵容
[509.02] 颇有种
[509.66] 埃尔文团长率领队伍向巨人冲锋般的悲壮
[512.3] 而经济呢也不出意料祭出祖传龟壳啊
[515.18] 小火龙爆弹
[516.039] 丝毫不给fly机会
[517.199] 最后成功进入四强
[518.439] 但毫无疑问
[519.319] 这次世界赛的欧美
[520.399] 不管是瑞士轮的基还是这次的八强的fly
[522.84] 他们用实力征服了全球观众
[524.78] 他们敢于坚持自己的风格
[527.96] 这就是比赛的魅力
[529.32] 没人会去责怪输给六道班的八门凯
[531.84] fly的表现才是真正的搏至无憾
[534.34] 赛后的BWIPO虽然第一时间是微笑下场
[536.6] 但在后台采访时也没有忍住眼泪
[538.96] 他的采访内容更是发人深省
[540.72] 值得一些队伍
[541.52] 尤其是某个队伍学习
[542.98] Really i hate losing like this
[544.82] But i know
[548.64] Getting to play
[549.48] Here
[549.82] Getting to be in front of the crowd
[551.62] I've never had a crowd jump
[553.16] My aim like today
[554.44] You deserve it
[555.56] And i really wanted to
[557.02] I
[557.5] Really wanted to win
[559.58] Also for them
[561.63] You know for my partner
[564.03] Ain't no
[566.4] I didn't so you deserve it man
[569.809] You
[570.069] You really say i am
[571.869] I'm so happy
[572.649] I got to play
[573.289] I got show everyone
[574.209] And i made people believe
[575.729] I think i really did
[577.079] I think we really did that's something to be proud man
[580.199] I
[580.439] I
[580.739] I will not take more time for from you
[583.079] You deserve a rest
[584.569] I only wish you
[586.649] You can see uh a message for the western
[589.92] And the brazil fans
[591.18] Thank you very much man
[594.09] Yeah
[594.65] Just be yourself
[597.53] Don't look at everyone else
[599.65] You don't have to be like them
[602.21] The best way to give it
[605.289] Your all is by being yourself
[607.969] Don't care what you need to band
[609.509] Don't care what your problems are solve them
[614.36] And be yourself play your own champions
[619.45] Make your own decisions
[620.71] If it looks ugly
[621.75] It looks ugly
[622.31] That's okay
[623.01] You know better
[623.69] What's happening
[624.27] You know you
[624.95] You know what's happening
[625.67] It's it's it's what you're used to
[627.35] Don't play their ga
[628.98] You don't need to
[630.44] I hope everyone sees that
[631.9] And i really really hope everyone else will feel the same way
[637.18] 呃
[637.54] 总之呢这八强的四场是各有各的看点
[639.64] 最近连看了四场BO5
[641.06] 边看还得边给新视频留素材
[643.24] 着实给我累的不行
[644.32] 听说妙界要给我看好康的小姐姐
[646.76] 我一下就来劲了
[647.64] 带着我的肩颈按摩仪火速更新
[649.72] 很顶的取消啊
[650.8] 不呃很顶的按摩仪啊
[652.82] 高强度加班都不觉得肩颈入手了的兄弟
[655.64] 也是说效果不错
[656.56] 热销榜回购榜
[657.68] 好评榜
[658.24] 三榜第一
[659.02] 实力恐怖如斯
[660.1] 那么久用下来还是觉得他最像真人
[662.32] 巴蒂按摩头带来的紧密包裹感
[664.42] 一边在后脖颈上收缩加揉
[666.42] 一边伸肌斜方肌的G点
[668.32] 搭配热敷
[669.04] 快速排走酸痛爽的灵魂震颤
[671.22] 头皮发麻
[671.92] 兄弟们
[672.36] 平时工作学习忙
[673.44] 低头久坐
[674.2] 老奸巨硬
[675.0] 要我都来试试
[676.04] 包已忘掉
[676.84] 88号技师专业按学手法技术有口皆碑
[680.2] 非常适合日常佩戴
[681.6] 预防颈椎病
[682.4] 只要往肩上一扣
[683.42] 打游戏
[683.92] 摸个鱼都能同时进行一条往下按
[686.44] 按腰腿
[686.98] 全身喵姐都能照顾得很好
[689.0] 还是老朋友靠谱
[690.24] 以前买的按
[691.08] 两人都不得劲
[691.94] 妙界几分钟就给我治的服服帖帖
[693.96] 我前段时间呢还给爸妈也送了
[695.56] 请他们去按摩店呢
[696.52] 舍不得我花钱送按摩仪
[698.04] 高性价比他们肯定满意
[699.68] 现在评论区置顶
[700.78] 领券
[701.06] 一年内有质量问题能免费换新
[703.04] 保价大促还送运费险
[704.68] 送亲朋
[705.32] 送自己啊
[705.88] 都不错
[706.4] 趁活动抓紧入手吧
[708.04] 那赛场外又出了一个新梗
[709.74] 叫对宁弹墙啊
[710.92] 整个事看完真的是让我如芒刺背
[713.36] 如坐针毡
[714.12] 如梗在喉啊
[714.96] 起因是宁在前两天直播的时候
[716.56] 突然开始吐吐槽王多多解说能力不行啊
[718.92] 听着想睡
[719.48] 然后指责他在解说t T1对阵滔博那场比赛时
[722.34] 把T1那把的阵容呢形容成为一面城墙
[725.34] 是纯瞎掰
[726.06] 对呀城墙他说那个啊T1的阵容像一个像城墙
[731.13] 我们要先先把那个前面的墙给拆了
[734.21] 我们才能那个才能把那个腹地的那个那个
[737.88] GUMAYUC给杀了
[738.96] 我惊呆了
[739.68] 兄弟
[740.4] 就如果是我的话
[742.12] 我是滔博的人的话
[743.28] 我不是不是我是滔博
[744.5] 如果是我的话
[745.16] 那你行你上呗
[746.77] 是我们其实期待一个天雷啊
[748.57] 只有天雷才能破局
[749.69] 才能穿透这个城墙
[751.089] 我们从外围是打不穿的
[752.769] 他是已经是成翔了
[754.049] 我们还要用一矛一矛去戳这个墙吗
[756.2] 然后呢就起了第一波节奏
[757.96] 但目前为止
[758.96] 宁跟弹幕的核心矛盾还是王多多的城墙论
[761.72] 大部分观众是觉得没啥问题的
[763.34] 但您认为那阵容就算是城墙
[765.5] 那369凯南出也没问题
[767.26] 简而言之还是游戏理解上的不同
[769.16] 那这个时候呢正好王多多也发文回应说啊
[771.66] 梦幻联动昨晚复盘的时候还粘到了宁王
[773.7] 巴拉巴拉巴拉
[774.3] 大意就是节奏可以停一停了
[775.94] 希望每个从业者都能为这个行业做出贡献啊
[777.98] 这招以退为进
[778.9] 用的很巧啊啊既给了宁王面子
[780.72] 又有平息节奏的意思
[781.92] 那大家可以把自己想象成宁
[783.52] 如果是你的话
[784.68] 你前一天刚吐槽了
[785.88] 人家反手
[786.52] 面对这种很礼貌的回复啊
[788.0] 你会怎么办
[788.64] A承认自己前一天的发言不太恰当
[790.96] 祝对方越来越好
[792.1] B坚持自己的观点
[793.48] 并对那把AD凯南的游戏理解进行分析解释
[796.54] C不予理睬
[797.46] 当没看到
[798.1] 等节奏平息来
[799.52] 各位观众请作答
[802.01] 来啊
[803.27] 其实以上哪个选项都算OK的
[805.09] 都有相对正当的动机
[806.63] 那我们的宁王在众多正确答案之中
[809.09] 选择了弹幕最多的一种
[810.49] 不是英雄联盟有城墙这个英雄吗
[813.1] 兄弟我就我只问你一件事情
[815.22] 英雄联盟有城墙这个英雄吗
[817.45] 没有吧
[818.13] 应该那行了呀
[819.17] 那你们都不知道191城墙这个英雄
[821.17] 你跟我掰扯啥呢
[822.17] 跟个脑残似的
[823.13] 还多读点书
[824.35] 二逼兄弟
[825.639] 我建议多玩点英雄联盟
[827.059] 你说呢
[827.939] 我他妈是干英雄联盟
[829.399] 我又不用书
[830.199] 读的多就比喻了
[832.68] 不是你要这么说的话
[834.24] 那你试试AD凯南
[835.44] APAP凯南哪个打前排速度快呢
[840.01] 那那事情到这了
[841.89] 其实就跟游戏内容没啥关系了
[843.49] 因为宁王的这套发言
[845.05] 给观众展示了什么叫冠军选手
[847.38] 奇特的素养和脑回路
[848.58] 更让我难过的是下面的一堆评论
[850.42] 宁王婚礼上
[851.28] 媳妇动情发言
[852.42] 余生还请宁王多多指教
[854.16] 宁王抢过话筒
[855.3] 不是媳妇儿
[856.06] 这大喜日子你提王多多干嘛
[857.74] 王多多日照香炉生紫烟
[859.54] 宁照香炉还挺能生的
[861.06] 是的
[861.38] 足球比赛也有一个叫铁桶
[862.8] 我找了半天也没找到哪个球员叫铁桶啊
[865.48] 当然哈这个您后面有补充说
[867.32] 他认为面对T1那个阵容
[868.76] 凯南就得出AD才拆的快
[870.38] 王多多没有游戏理解
[871.9] 在瞎解说
[872.82] 那么面对二次节奏呢
[874.26] 王多多也挺无语的
[875.34] 不回复吧
[876.0] 节奏有希回复吧
[877.72] 上次都给过台阶了
[878.92] 怎么还得再给啊
[879.92] 所以后面也直播回应道
[881.3] 还有决赛的是五花马千金裘
[883.28] 多喝两杯不算愁
[884.4] 当然要中考高考的朋友们就不要记这句话了
[887.18] 正常的是五花马千金裘
[888.6] 江苏换美酒
[889.32] 与尔同销万古愁
[890.14] 学生党就不要背错了啊
[891.52] 五花马千金裘多喝两杯不算愁
[892.92] 我说给宁王满上
[894.0] 就这三句啊
[894.72] 告诉你啊
[895.24] 你下面直播的时候说一下
[896.7] 把这个三句
[897.56] 把这个三句背一下
[898.89] 因为这三句本身是赞美你的好吧
[901.15] 背一下你也赞美一下自己
[903.17] 这个事情就结束了
[904.65] 然后到时候我去给你刷礼物好不好
[907.17] 但这个时候呢我们不走寻常路的宁王
[909.51] 依旧选择弹幕最多的打法
[911.22] 先是反问弹幕
[912.38] 我喷王多多什么了
[913.7] 你们张口就来
[914.66] 然后自己又做了一个奇妙比喻
[916.3] 就好比我给你一巴掌
[918.06] 你说我打了你了
[918.98] 看你脸也没红啊
[920.22] 不是这道理吗
[921.3] 那我也比喻手法
[922.54] 你不急眼吧
[923.26] 应该我上去就给你一巴掌
[924.9] 然后你非得跟你妈说
[925.9] 我打你了
[926.46] 然后你妈看你脸也没有被打
[928.08] 没有被巴掌打的痕迹啊
[929.62] 行不
[930.23] 那不也比喻吗
[931.73] 这么能比喻对呀
[933.59] 这不是也是比喻吗
[935.0] 后续呢就是他自己总结说
[936.8] 不喜欢这种没有游戏理解的官方解说
[938.98] 他一直在引导观众灌输很爆炸的情绪
[942.52] 而且针对一个选手城墙城墙说的很烦
[945.38] 并且表示这次节奏很大程度都是弹幕的问题
[948.7] 诶一直在问他把他带偏了
[950.78] 所以总结啊哈弹幕的锅
[952.56] 那我先不谈解说啊
[954.42] 这宁指责别人
[955.58] 引导观众灌输情绪
[957.2] 嗯嗯TARZAN表示认可哦
[959.86] 他一直在引导观众
[962.55] 一直在引导观众
[963.79] 给观众灌输很多就很爆炸的情绪
[966.75] 本身就已经大家都很爆炸了
[968.73] 然后还要再灌输很爆炸的情绪
[971.44] 而且是针对一个选手
[974.48] 我做不到感同身受
[990.22] 不是你钩子野都刷不明白
[993.24] 他这大树真是野都刷不明白
[995.34] 我不跟你们开玩笑
[996.22] 兄弟们
[996.66] 你勾八一个大树站
[998.06] 这干什么呀
[999.08] 这打野他妈是人啊
[1000.98] 你往前走啊
[1002.39] 队友打起来了
[1004.15] 大树人都看不着地图里面
[1006.44] 那目前呢宁的直播间就是骂声一片啊
[1009.2] 尤其是一个弹幕一往无前
[1010.64] 釜山行
[1011.16] 大字不识高振宁
[1012.52] 是是啊
[1012.92] 我绷不住
[1013.52] 反正我作为吃瓜群众
[1014.88] 真是给我看麻了
[1015.88] 这宁但凡走对一步都不至于闹到这个程度
[1019.1] 之前看到过一个问题啊
[1020.42] 叫如何看待现在的网红频频翻车
[1022.52] 其中有一个回答是互联网的红利
[1024.5] 让很多人拥有了他们本不该拥有的财富和名气
[1027.26] 其实你上互联网走一圈就能发现
[1029.04] 很多翻车的网红
[1030.28] 大部分都是没有什么教育背景
[1031.98] 或者对整个世界是没有什么明确认知的
[1034.82] 但也正是因为无知者无畏的这个特性呢
[1037.36] 以至于他们以前可以毫无顾忌
[1039.2] 甚至毫无逻辑的说出很多话
[1040.96] 做出许多事
[1041.82] 那在观众眼里来看呢
[1043.2] 就是真实或抽象
[1044.4] 反而有一定认知的人
[1045.78] 是不会说一些很无脑的话的
[1047.66] 主要还是因为正常人压根不会去那样思考
[1050.06] 就好比你在东北见到漂亮小姐姐
[1051.82] 一般人的开场都会说你你好
[1053.28] 而不是国口闸
[1054.12] 我曾经跟一些同行探讨过类似的问题啊
[1056.34] 要脸是不是就在互联网赚不到钱
[1058.6] 我说不是
[1059.4] 就算你们不要脸
[1060.42] 也玩不了真实或抽象那一套
[1062.26] 有的人天生就是吃这碗饭的
[1064.48] 有的是环境所造就的
[1065.88] 而你我的朋友啊
[1067.24] 这个名为知识的金箍一旦戴上
[1069.36] 就很难再摘下来了
[1070.76] 所以这可能能是一个最好的时代
[1072.44] 也可能是一个最坏的时代
[1073.88] 好是好
[1074.32] 在它让更多人有了可以实现财富自由的机会
[1076.98] 坏就坏
[1077.38] 在很多所谓网红的成功
[1078.94] 似乎都在传达着读书无用论
[1080.98] 你像宁这种能明晃晃的说出我是干英雄联盟的
[1084.36] 又不用书读的多的
[1085.8] 这种话就是很典型的单向思维
[1087.66] 我不用读书
[1088.76] 都已经挣到钱了
[1089.72] 那我读书也没什么用
[1090.88] 那人吃饭就是为了拉屎吗
[1092.98] 那当然不是
[1093.66] 我们吃饭的首要目的是为了活下去
[1095.54] 其次才是满足味觉
[1096.92] 视觉等需求而拉屎
[1098.5] 只吃饭中的其中一个结果而已
[1101.14] 所以你读书不一定就只为了挣钱
[1103.5] 你挣钱也不一定只能通过读书
[1105.92] 读书是武装你的头脑
[1107.5] 提高你的认知的
[1108.34] 当然也把书读到狗肚子里去啊
[1110.48] 这种情况就另当别论
[1111.56] 单论这件事的话
[1112.6] 影响其实不太好
[1113.52] 因为电竞放以前那是上不得台面的东西
[1116.28] 不管是sky还是到后来的
[1117.52] 一代代的游戏从业人员呢
[1118.96] 都在尽力的去扭转社会
[1120.64] 大众对于游戏这个行业的刻板印象
[1122.56] 提升自己的品牌形象啊
[1124.0] 比如励志啊
[1124.84] 勤奋呐
[1125.6] 不是人们口中的网瘾少年啊等等
[1127.84] 但通过您这档子事
[1129.24] 很多观众又回过味了啊
[1130.64] 打游戏的就是打游戏的
[1131.8] 自己话说不明白
[1132.76] 别人话也听不明白
[1133.94] 没文化真可怕
[1134.9] 对吧
[1135.14] 哎总的来说呢
[1135.82] 这件事虽然不至于大幅拉低LPL的品牌形象
[1138.9] 但观众膈应那也是真膈应
[1140.8] 世界冠军呢就这素质这脑子是吧
[1142.96] 借用GUA当初的一段话啊
[1144.54] 身为一个公众人物
[1145.98] 你拥有众多粉丝和普通人难以企及的收入
[1149.38] 那么你也应当约束自己的行为
[1151.98] 树立好的榜样
[1154.34] 那好了
[1154.9] 以上就是本期节目所有内容了
[1156.16] 四强后天就要开打了
[1157.58] 上半LPL内战
[1158.74] 下半LCK内战
[1159.82] 各自保送一个进决赛
[1161.34] 那简单分析一下的话呢
[1162.66] WBG的硬实力肯定是不如BRG的
[1164.82] 硬要说优势的话呢
[1166.3] 那可能就是丹尼的BP8把蛋了
[1168.42] 我个人是更看好BRG获胜
[1170.06] 下班的T1经济呢
[1171.94] 我觉得如果按照往年交手记录来看的话
[1174.74] 那经济的胜算会更大一些
[1176.3] 主要还是五性相克
[1177.74] GG这个龟壳子那是真硬啊
[1179.64] 就看T1能不能有什么奇招凿的开了
[1181.76] 唉
[1181.92] 总的来说
[1182.48] 不管四强也好
[1183.4] 决赛也好啊
[1184.16] 我只希望比赛能好看点
[1185.84] 其实看比赛跟看电影的逻辑是一样的
[1188.41] 就好比一个演员要是回回都演未亡人
[1190.89] 那销量肯定不会好
[1192.28] 所以同理呀
[1193.42] 比赛也一样
[1194.28] 好看就好看
[1195.36] 在他的不确定性
[1196.32] 那咱们就拭目以待吧
[1197.56] 那这期我就说到这儿
[1198.6] 我是刘三少
[1199.92] 我们下期视频再见
